J         CT        CP        eta
0.0000    0.0757    0.0222    0.000000
0.0217    0.0745    0.0225    0.071850
0.0433    0.0731    0.0229    0.138225
0.0650    0.0717    0.0232    0.200732
0.0866    0.0701    0.0234    0.259312
0.1083    0.0684    0.0236    0.313866
0.1300    0.0665    0.0238    0.363671
0.1516    0.0646    0.0238    0.410989
0.1733    0.0625    0.0239    0.454085
0.1950    0.0603    0.0238    0.494073
0.2166    0.0580    0.0237    0.529827
0.2383    0.0556    0.0235    0.563795
0.2599    0.0531    0.0232    0.594834
0.2816    0.0505    0.0228    0.622544
0.3033    0.0477    0.0224    0.647019
0.3249    0.0450    0.0218    0.670092
0.3466    0.0421    0.0211    0.689726
0.3682    0.0391    0.0204    0.706235
0.3899    0.0361    0.0196    0.718903
0.4116    0.0330    0.0186    0.730371
0.4332    0.0299    0.0176    0.736977
0.4549    0.0266    0.0164    0.737158
0.4766    0.0234    0.0151    0.738057
0.4982    0.0201    0.0138    0.726435
0.5199    0.0168    0.0123    0.710154
0.5415    0.0134    0.0107    0.678000
0.5632    0.0100    0.0090    0.625889
0.5849    0.0066    0.0072    0.536556
0.6065    0.0033    0.0054    0.369000
